K04D0012_H0011:1b-0	@1b [dd] *//	[dd]_4 
K04D0012_H0011:321b-23	ci skyes bu de de'i gzhi las dga' ba dang /	ci_0 skye_3 bu_9 de_12 de_15 gzhi_20 las_25 dga'_29 ba_34 dang_37 
K04D0012_H0011:321b-24	mgu ba dang /	mgu_0 ba_4 dang_7 
K04D0012_H0011:321b-25	rangs pa dang /	rangs_0 ba_6 dang_9 
K04D0012_H0011:321b-26	yid bde ba cher skye'am /	yid_0 bde_4 ba_8 cher_11 skye_16 
K04D0012_H0011:321b-27	rab 'byor gyis gsol pa /	rab_0 'byor_4 gyis_10 gsol_15 ba_20 
K04D0012_H0011:321b-28	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:321b-29	de de bzhin no //	de_0 de_3 bzhin_6 no_12 
K04D0012_H0011:321b-30	bde bar gshegs pa /	bde_0 ba_4 gshegs_8 ba_15 
K04D0012_H0011:321b-31	de de bzhin no //	de_0 de_3 bzhin_6 no_12 
K04D0012_H0011:321b-32	bcom ldan 'das kyis bka' stsal pa /	'joms_0 ldan_5 'da'_10 kyis_15 bka'_20 stsal_25 ba_31 
K04D0012_H0011:321b-33	rab 'byor /	rab_0 'byor_4 
K04D0012_H0011:322a-0	yang skyes @322a *//	yang_0 skye_5 
K04D0012_H0011:322a-1	bu de phun sum tshogs pa chen po de dang ldan nas pha ma dang /	bu_0 de_3 phun_6 sum_11 tshogs_15 ba_22 chen_25 po_30 de_33 dang_36 ldan_41 nas_46 pha_50 ma_54 dang_57 
K04D0012_H0011:322a-2	bu dang /	bu_0 dang_3 
K04D0012_H0011:322a-3	chung ma rnams khrid de rgyu'i tshogs pa 'ga' zhig	chung_0 ma_6 rnams_9 'khrid_15 de_21 rgyu_24 tshogs_31 ba_38 'ga'_41 'jig_46 
K04D0012_H0011:322a-4	dang ldan pas 'brog dgon pa chen po 'jigs pa	dang_0 ldan_5 ba_10 'brog_14 dgon_20 ba_25 chen_28 po_33 'jigs_36 ba_42 
K04D0012_H0011:322a-5	chen po byis pa rnams la sdigs mor rung ba	chen_0 po_5 byis_8 ba_13 rnams_16 la_22 sdigs_25 mor_31 rung_35 ba_40 
K04D0012_H0011:322a-6	spu zing zhes byed pa der zhugs par gyur la	spu_0 zing_4 zhes_9 byed_14 ba_19 der_22 'jug_26 ba_32 gyur_36 la_41 
K04D0012_H0011:322a-7	/ de der phyin nas pha ma dang /	de_2 der_5 phyin_9 nas_15 pha_19 ma_23 dang_26 
K04D0012_H0011:322a-8	bu dang /	bu_0 dang_3 
K04D0012_H0011:322a-9	chung ma de dag la bdag gis khyed 'brog dgon	chung_0 ma_6 de_9 'dag_12 la_16 bdag_19 gis_24 'khyed_28 'brog_34 dgon_40 
K04D0012_H0011:322a-10	pa 'jigs pa mi bzad pa chen po 'di nas	ba_0 'jigs_3 ba_9 mi_12 bzad_15 ba_20 chen_23 po_28 'di_31 nas_35 
K04D0012_H0011:322a-11	nye zho med cing bde legs su myur du bsgral	nye_0 zho_4 med_8 cing_12 bde_17 legs_21 su_26 myur_29 du_34 bsgral_37 
K04D0012_H0011:322a-12	te myur du thar bar bya yi /	te_0 myur_3 du_8 thar_11 ba_16 byed_20 yi_24 
K04D0012_H0011:322a-13	ma 'jigs shig /	ma_0 'jigs_3 shig_9 
K04D0012_H0011:322a-14	ma 'jigs shig /	ma_0 'jigs_3 shig_9 
K04D0012_H0011:322a-15	ces mi 'jigs pa bstabs la /	ces_0 mi_4 'jigs_7 ba_13 stob_16 la_23 
K04D0012_H0011:322a-16	rab 'byor /	rab_0 'byor_4 
K04D0012_H0011:322a-17	yang 'brog dgon pa de na skyes bu de la phyir rgol ba dang /	yang_0 'brog_5 dgon_11 ba_16 de_19 na_22 skye_25 bu_31 de_34 la_37 phyir_40 rgol_46 ba_51 dang_54 
K04D0012_H0011:322a-18	mi mdza' ba mang po zhig byung bar gyur na; rab 'byor /	mi_0 mdza'_3 ba_9 mang_12 po_17 'jig_20 'byung_25 ba_31 gyur_35 na;_40 rab_44 'byor_48 
K04D0012_H0011:322a-19	de ji snyam du sems /	de_0 ji_3 snyam_6 du_12 sems_15 
K04D0012_H0011:322a-20	phyir rgol ba dang /	phyir_0 rgol_6 ba_11 dang_14 
K04D0012_H0011:322a-21	mi mdza' ba de dag nye bar gnas pas skyes bu dpa' bo phyir mi ldog pa /	mi_0 mdza'_3 ba_9 de_12 'dag_15 nye_19 ba_23 gnas_27 ba_32 skye_36 bu_42 dpa'_45 'bo_50 phyir_53 mi_59 ldog_62 ba_67 
K04D0012_H0011:322a-22	lta ba dang /	lta_0 ba_4 dang_7 
K04D0012_H0011:322a-23	brtson 'grus dang /	brtson_0 'grus_7 dang_13 
K04D0012_H0011:322a-24	stobs dang ldan pa /	stobs_0 dang_6 ldan_11 ba_16 
K04D0012_H0011:322a-25	shes rab dang ldan pa /	shes_0 rab_5 dang_9 ldan_14 ba_19 
K04D0012_H0011:322a-26	shin tu mnyes gshin pa /	shin_0 tu_5 mnyes_8 gshin_14 ba_20 
K04D0012_H0011:322a-27	mdzangs pa /	mdzangs_0 ba_8 
K04D0012_H0011:322a-28	brtan pa /	brtan_0 ba_6 
K04D0012_H0011:322a-29	tshogs chen po dang ldan pa de /	tshogs_0 chen_7 po_12 dang_15 ldan_20 ba_25 de_28 
K04D0012_H0011:322a-30	pha ma dang /	pha_0 ma_4 dang_7 
K04D0012_H0011:322a-31	bu dang /	bu_0 dang_3 
K04D0012_H0011:322a-32	chung ma de dag bor te 'brog dgon pa 'jigs	chung_0 ma_6 de_9 'dag_12 'bor_16 te_20 'brog_23 dgon_29 ba_34 'jigs_37 
K04D0012_H0011:322a-33	pa chen po mi bzad pa de las bdag gcig	ba_0 chen_3 po_8 mi_11 bzad_14 ba_19 de_22 las_25 bdag_29 gcig_34 
K04D0012_H0011:322a-34	pu byung ste 'gro bar sems sam /	pu_0 'byung_3 ste_9 'gro_13 ba_18 sems_22 sam_27 
K04D0012_H0011:322a-35	rab 'byor gyis gsol pa /	rab_0 'byor_4 gyis_10 gsol_15 ba_20 
K04D0012_H0011:322a-36	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:322a-37	de ni /	de_0 ni_3 
K04D0012_H0011:322b-0	@322b ma lags so //	ma_6 lags_9 so_14 
K04D0012_H0011:322b-1	de ci'i slad du zhe na /	de_0 ci_3 slad_8 du_13 zhe_16 na_20 
K04D0012_H0011:322b-2	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:322b-3	'di ltar skyes bu des pha ma dang /	'di_0 ltar_4 skye_9 bu_15 des_18 pha_22 ma_26 dang_29 
K04D0012_H0011:322b-4	bu dang /	bu_0 dang_3 
K04D0012_H0011:322b-5	chung ma de dag yongs su mi 'dor te /	chung_0 ma_6 de_9 'dag_12 yongs_16 su_22 mi_25 'dor_28 te_33 
K04D0012_H0011:322b-6	de nang dang phyi'i dpung gi tshogs dang yang ldan	de_0 nang_3 dang_8 phyi_13 dpung_20 gi_26 tshogs_29 dang_36 yang_41 ldan_46 
K04D0012_H0011:322b-7	la; 'brog dgon pa de na phyir rgol ba dang	la;_0 'brog_4 dgon_10 ba_15 de_18 na_21 phyir_24 rgol_30 ba_35 dang_38 
K04D0012_H0011:322b-8	mi mdza' ba de dag la phyir rgol ba gzhan	mi_0 mdza'_3 ba_9 de_12 'dag_15 la_19 phyir_22 rgol_28 ba_33 gzhan_36 
K04D0012_H0011:322b-9	de bas ches mang ba /	de_0 ba_3 ches_7 mang_12 ba_17 
K04D0012_H0011:322b-10	ches dpa' ba /	ches_0 dpa'_5 ba_10 
K04D0012_H0011:322b-11	go mtshon ches sra ba /	go_0 mtshon_3 ches_10 sra_15 ba_19 
K04D0012_H0011:322b-12	ches rlabs che ba dag mchis pas bsrung bas na /	ches_0 rlabs_5 che_11 ba_15 'dag_18 mchis_22 ba_28 bsrung_32 ba_39 na_43 
K04D0012_H0011:322b-13	de'i slad du de'i phyir rgol ba /	de_0 slad_5 du_10 de_13 phyir_18 rgol_24 ba_29 
K04D0012_H0011:322b-14	mi mdza' ba /	mi_0 mdza'_3 ba_9 
K04D0012_H0011:322b-15	klan ka tshol ba /	klan_0 ka_5 tshol_8 ba_14 
K04D0012_H0011:322b-16	glags lta ba /	glags_0 lta_6 ba_10 
K04D0012_H0011:322b-17	glags tshol ba dag gis glags mi rnyed de /	glags_0 tshol_6 ba_12 'dag_15 gis_19 glags_23 mi_29 rnyed_32 de_38 
K04D0012_H0011:322b-18	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:322b-19	de'i slad du skyes bu stobs dang ldan pa de ma snad ma rmas par pha ma dang /	de_0 slad_5 du_10 skye_13 bu_19 stobs_22 dang_28 ldan_33 ba_38 de_41 ma_44 snad_47 ma_52 rmas_55 ba_60 pha_64 ma_68 dang_71 
K04D0012_H0011:322b-20	bu dang /	bu_0 dang_3 
K04D0012_H0011:322b-21	chung ma dang /	chung_0 ma_6 dang_9 
K04D0012_H0011:322b-22	bdag nyid kyang 'brog dgon pa 'jigs pa chen po mi bzad pa de las 'byung nus te /	bdag_0 nyid_5 kyang_10 'brog_16 dgon_22 ba_27 'jigs_30 ba_36 chen_39 po_44 mi_47 bzad_50 ba_55 de_58 las_61 'byung_65 nus_72 te_76 
K04D0012_H0011:322b-23	bde ba'am /	bde_0 ba_4 
K04D0012_H0011:322b-24	bde legs su myur du grong ngam /	bde_0 legs_4 su_9 myur_12 du_17 grong_20 ngam_26 
K04D0012_H0011:322b-25	grong khyer ram /	grong_0 'khyer_6 ram_12 
K04D0012_H0011:322b-26	grong rdal gyi bar du phyin par 'gyur ro //	grong_0 rdal_6 gyi_11 ba_15 du_19 phyin_22 ba_28 'gyur_32 ro_38 
K04D0012_H0011:322b-27	de skad ces gsol pa dang /	de_0 skad_3 ces_8 gsol_12 ba_17 dang_20 
K04D0012_H0011:322b-28	bcom ldan 'das kyis tshe dang ldan pa rab 'byor la 'di skad ces bka' stsal to //	'joms_0 ldan_5 'da'_10 kyis_15 tshe_20 dang_25 ldan_30 ba_35 rab_38 'byor_42 la_48 'di_51 skad_55 ces_60 bka'_64 stsal_69 to_75 
K04D0012_H0011:322b-29	rab 'byor /	rab_0 'byor_4 
K04D0012_H0011:322b-30	de bzhin du byang chub sems dpa' sems dpa' chen	de_0 bzhin_3 du_9 byang_12 chub_18 sems_23 dpa'_28 sems_33 dpa'_38 chen_43 
K04D0012_H0011:322b-31	po sems can thams cad la phan pa dang snying	po_0 sems_3 can_8 thams_12 cad_18 la_22 phan_25 ba_30 dang_33 snying_38 
K04D0012_H0011:322b-32	brtse ba'i byams pa la gnas pa; snying rje la	brtse_0 ba_6 byams_11 ba_17 la_20 gnas_23 pa;_28 snying_32 rje_39 la_43 
K04D0012_H0011:322b-33	gnas pa / dga' ba la gnas pa /	gnas_0 ba_5 dga'_10 ba_15 la_18 gnas_21 ba_26 
K04D0012_H0011:322b-34	btang snyoms la gnas pa /	gtong_0 snyom_6 la_13 gnas_16 ba_21 
K04D0012_H0011:322b-35	thabs mkhas pa dang /	thabs_0 mkhas_6 ba_12 dang_15 
K04D0012_H0011:323a-0	shes rab kyi pha rol tu phyin pas yongs su bzung ba yang dge @323a *//	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 yongs_34 su_40 bzung_43 ba_49 yang_52 dge_57 
K04D0012_H0011:323a-1	ba'i rtsa ba rnams yang dag par rdzogs pa'i sangs	ba_0 rtsa_5 ba_10 rnams_13 yang_19 'dag_24 ba_28 rdzogs_32 ba_39 sangs_44 
K04D0012_H0011:323a-2	rgyas kyis gnang ba'i yongs su bsngo bas yongs su	rgya_0 kyis_6 gnang_11 ba_17 yongs_22 su_28 sngo_31 ba_37 yongs_41 su_47 
K04D0012_H0011:323a-3	bsngos nas 'di ltar yang rnam par thar pa'i sgo	sngo_0 nas_7 'di_11 ltar_15 yang_20 rnam_25 ba_30 thar_34 ba_39 sgo_44 
K04D0012_H0011:323a-4	stong pa nyid dang /	stong_0 ba_6 nyid_9 dang_14 
K04D0012_H0011:323a-5	mtshan ma med pa dang /	mtshan_0 ma_7 med_10 ba_14 dang_17 
K04D0012_H0011:323a-6	smon pa med pa'i ting nge 'dzin la 'jug pa de lta na'ang nyan thos kyi sa'am /	smon_0 ba_5 med_8 ba_12 ting_17 nge_22 'dzin_26 la_32 'jug_35 ba_40 de_43 lta_46 na_50 nyan_57 thos_62 kyi_67 sa_71 
K04D0012_H0011:323a-7	rang sangs rgyas kyi sa la yang dag pa'i mtha' gang yang mngon sum du mi byed do //	rang_0 sangs_5 rgya_11 kyi_17 sa_21 la_24 yang_27 'dag_32 ba_36 mtha'_41 gang_47 yang_52 mngon_57 sum_63 du_67 mi_70 byed_73 do_78 
K04D0012_H0011:323a-8	de ci'i phyir zhe na /	de_0 ci_3 phyir_8 zhe_14 na_18 
K04D0012_H0011:323a-9	'di ltar 'di'i yongs su 'dzin par byed pa ni /	'di_0 ltar_4 'di_9 yongs_15 su_21 'dzin_24 ba_30 byed_34 ba_39 ni_42 
K04D0012_H0011:323a-10	mchog tu stobs dang ldan zhing mchog tu brtan pa yin te /	mchog_0 tu_6 stobs_9 dang_15 ldan_20 zhing_25 mchog_31 tu_37 brtan_40 ba_46 yin_49 te_53 
K04D0012_H0011:323a-11	'di lta ste; shes rab kyi pha rol tu phyin pa dang /	'di_0 lta_4 ste;_8 shes_13 rab_18 kyi_22 pha_26 rol_30 tu_34 phyin_37 ba_43 dang_46 
K04D0012_H0011:323a-12	thabs mkhas pa'o //	thabs_0 mkhas_6 ba_12 
K04D0012_H0011:323a-13	des na /	des_0 na_4 
K04D0012_H0011:323a-14	'dis sems can thams cad yongs su ma btang ba yin zhing /	'dis_0 sems_5 can_10 thams_14 cad_20 yongs_24 su_30 ma_33 gtong_36 ba_42 yin_45 zhing_49 
K04D0012_H0011:323a-15	des na /	des_0 na_4 
K04D0012_H0011:323a-16	'dis dge zhing bde bar bla na med pa yang	'dis_0 dge_5 zhing_9 bde_15 ba_19 bla_23 na_27 med_30 ba_34 yang_37 
K04D0012_H0011:323a-17	dag par rdzogs pa'i byang chub mngon par rdzogs par	'dag_0 ba_4 rdzogs_8 ba_15 byang_20 chub_26 mngon_31 ba_37 rdzogs_41 ba_48 
K04D0012_H0011:323a-18	'tshang rgya bar nus so //	'tshang_0 rgya_8 ba_13 nus_17 so_21 
K04D0012_H0011:323a-19	rab 'byor /	rab_0 'byor_4 
K04D0012_H0011:323a-20	gang gi tshe byang chub sems dpa' sems dpa' chen	gang_0 gi_5 tshe_8 byang_13 chub_19 sems_24 dpa'_29 sems_34 dpa'_39 chen_44 
K04D0012_H0011:323a-21	po sems can thams cad kyi drung na byams pa'i	po_0 sems_3 can_8 thams_12 cad_18 kyi_22 drung_26 na_32 byams_35 ba_41 
K04D0012_H0011:323a-22	sems dmigs par byed cing /	sems_0 dmigs_5 ba_11 byed_15 cing_20 
K04D0012_H0011:323a-23	dmigs par byas nas de dag la byams pa'i mchog	dmigs_0 ba_6 byed_10 nas_15 de_19 'dag_22 la_26 byams_29 ba_35 mchog_40 
K04D0012_H0011:323a-24	gis nye bar 'brel bar byed pa de'i tshe byang	gis_0 nye_4 ba_8 'brel_12 ba_18 byed_22 ba_27 de_30 tshe_35 byang_40 
K04D0012_H0011:323a-25	chub sems dpa' sems dpa' chen po nyon mongs pa'i	chub_0 sems_5 dpa'_10 sems_15 dpa'_20 chen_25 po_30 nyon_33 mongs_38 ba_44 
K04D0012_H0011:323a-26	phyogs dang / bdud kyi phyogs las shin tu 'das shing /	phyogs_0 dang_7 bdud_14 kyi_19 phyogs_23 las_30 shin_34 tu_39 'da'_42 shing_47 
K04D0012_H0011:323b-0	nyan thos kyi sa dang @323b rang sangs rgyas kyi sa las shin tu 'das te /	nyan_0 thos_5 kyi_10 sa_14 dang_17 rang_28 sangs_33 rgya_39 kyi_45 sa_49 las_52 shin_56 tu_61 'da'_64 te_69 
K04D0012_H0011:323b-1	de ting nge 'dzin de la gnas so //	de_0 ting_3 nge_8 'dzin_12 de_18 la_21 gnas_24 so_29 
K04D0012_H0011:323b-2	rab 'byor /	rab_0 'byor_4 
K04D0012_H0011:323b-3	de zag pa zad pa ma thob kyang pha rol	de_0 zag_3 ba_7 zad_10 ba_14 ma_17 'thob_20 kyang_25 pha_31 rol_35 
K04D0012_H0011:323b-4	tu phyin pa'i mchog stong pa nyid la yongs su	tu_0 phyin_3 ba_9 mchog_14 stong_20 ba_26 nyid_29 la_34 yongs_37 su_43 
K04D0012_H0011:323b-5	'dris par byed do //	'dris_0 ba_6 byed_10 do_15 
K04D0012_H0011:323b-6	rab 'byor /	rab_0 'byor_4 
K04D0012_H0011:323b-7	gang gi tshe byang chub sems dpa' sems dpa' chen	gang_0 gi_5 tshe_8 byang_13 chub_19 sems_24 dpa'_29 sems_34 dpa'_39 chen_44 
K04D0012_H0011:323b-8	po rnam par thar pa'i sgo stong pa nyid kyi	po_0 rnam_3 ba_8 thar_12 ba_17 sgo_22 stong_26 ba_32 nyid_35 kyi_40 
K04D0012_H0011:323b-9	ting nge 'dzin la gnas pa de'i tshe byang chub	ting_0 nge_5 'dzin_9 la_15 gnas_18 ba_23 de_26 tshe_31 byang_36 chub_42 
K04D0012_H0011:323b-10	sems dpa' sems dpa' chen po bar skabs der mtshan	sems_0 dpa'_5 sems_10 dpa'_15 chen_20 po_25 ba_28 skabs_32 der_38 mtshan_42 
K04D0012_H0011:323b-11	ma med pa'i ting nge 'dzin la mi gnas te	ma_0 med_3 ba_7 ting_12 nge_17 'dzin_21 la_27 mi_30 gnas_33 te_38 
K04D0012_H0011:323b-12	/ des mtshan ma med pa'i ting nge 'dzin mngon sum du bya pa ma yin no; ;rab 'byor /	des_2 mtshan_6 ma_13 med_16 ba_20 ting_25 nge_30 'dzin_34 mngon_40 sum_46 du_50 byed_53 ba_57 ma_60 yin_63 no;_67 ;rab_71 'byor_76 
K04D0012_H0011:323b-13	'di lta ste /	'di_0 lta_4 ste_8 
K04D0012_H0011:323b-14	dper na /	dper_0 na_5 
K04D0012_H0011:323b-15	'dab chags bya ni /	'dab_0 chags_5 byed_11 ni_15 
K04D0012_H0011:323b-16	nam mkha' bar snang la rgyu'ang sa la mi ltung zhing gnas ci la'ang mi brten par 'dug ste /	nam_0 mkha'_4 ba_10 snang_14 la_20 rgyu_23 sa_32 la_35 mi_38 ltung_41 zhing_47 gnas_53 ci_58 la_61 mi_68 rten_71 ba_77 'dug_81 ste_86 
K04D0012_H0011:323b-17	nam mkha' bar snang nyid la gnas kyang de la'ang mi brten mi gnas so //	nam_0 mkha'_4 ba_10 snang_14 nyid_20 la_25 gnas_28 kyang_33 de_39 la_42 mi_49 rten_52 mi_58 gnas_61 so_66 
K04D0012_H0011:323b-18	rab 'byor /	rab_0 'byor_4 
K04D0012_H0011:323b-19	de bzhin du byang chub sems dpa' sems dpa' chen	de_0 bzhin_3 du_9 byang_12 chub_18 sems_23 dpa'_28 sems_33 dpa'_38 chen_43 
K04D0012_H0011:323b-20	po stong pa nyid la gnas pas gnas shing stong	po_0 stong_3 ba_9 nyid_12 la_17 gnas_20 ba_25 gnas_29 shing_34 stong_40 
K04D0012_H0011:323b-21	pa nyid la yongs su 'dris par yang byed do	ba_0 nyid_3 la_8 yongs_11 su_17 'dris_20 ba_26 yang_30 byed_35 do_40 
K04D0012_H0011:323b-22	// mtshan ma med pa la gnas pas gnas shing	mtshan_3 ma_10 med_13 ba_17 la_20 gnas_23 ba_28 gnas_32 shing_37 
K04D0012_H0011:323b-23	mtshan ma med pa la yongs su 'dris par yang	mtshan_0 ma_7 med_10 ba_14 la_17 yongs_20 su_26 'dris_29 ba_35 yang_39 
K04D0012_H0011:323b-24	// byed do // smon pa med pa la gnas	byed_3 do_8 smon_14 ba_19 med_22 ba_26 la_29 gnas_32 
K04D0012_H0011:323b-25	pas gnas shing smon pa med pa la yongs su	ba_0 gnas_4 shing_9 smon_15 ba_20 med_23 ba_27 la_30 yongs_33 su_39 
K04D0012_H0011:323b-26	'dris par yang byed de /	'dris_0 ba_6 yang_10 byed_15 de_20 
K04D0012_H0011:323b-27	sangs rgyas kyi chos rnams yongs su ma rdzogs par stong pa nyid dang /	sangs_0 rgya_6 kyi_12 chos_16 rnams_21 yongs_27 su_33 ma_36 rdzogs_39 ba_46 stong_50 ba_56 nyid_59 dang_64 
K04D0012_H0011:324a-0	mtshan ma med pa dang @324a *//	mtshan_0 ma_7 med_10 ba_14 dang_17 
K04D0012_H0011:324a-1	smon pa med par yang mi ltung ngo //	smon_0 ba_5 med_8 ba_12 yang_16 mi_21 ltung_24 ngo_30 
K04D0012_H0011:324a-2	rab 'byor /	rab_0 'byor_4 
K04D0012_H0011:324a-3	'di lta ste /	'di_0 lta_4 ste_8 
K04D0012_H0011:324a-4	dper na /	dper_0 na_5 
K04D0012_H0011:324a-5	'phong gi slob dpon stobs dang ldan pa mda'i mtshon	'phong_0 gi_7 slob_10 dpon_15 stobs_20 dang_26 ldan_31 ba_36 mda_39 mtshon_45 
K04D0012_H0011:324a-6	la legs par bslabs pa shin tu mthar phyin pa	la_0 legs_3 ba_8 bslabs_12 ba_19 shin_22 tu_27 mthar_30 phyin_36 ba_42 
K04D0012_H0011:324a-7	des mda' steng du 'phangs te mda' 'phangs nas de	des_0 mda'_4 steng_9 du_15 'phen_18 te_26 mda'_29 'phen_34 nas_42 de_46 
K04D0012_H0011:324a-8	mda' gzhan dag gis slar bzlog nas mda' de sa	mda'_0 gzhan_5 'dag_11 gis_15 slar_19 bzlog_24 nas_30 mda'_34 de_39 sa_42 
K04D0012_H0011:324a-9	la mi ltung bar 'dzin te /	la_0 mi_3 ltung_6 ba_12 'dzin_16 te_22 
K04D0012_H0011:324a-10	mda' snga ma de la mda' phyi ma brgyud mar 'phangs pas sa la ltung du mi ster te /	mda'_0 snga_5 ma_10 de_13 la_16 mda'_19 phyi_24 ma_29 brgyud_32 mar_39 'phen_43 ba_51 sa_55 la_58 ltung_61 du_67 mi_70 ster_73 te_78 
K04D0012_H0011:324a-11	kye ma mda' de sa la lhung yang bla snyam	kye_0 ma_4 mda'_7 de_12 sa_15 la_18 lhung_21 yang_27 bla_32 snyam_36 
K04D0012_H0011:324a-12	du 'dod pa ma byung ba de srid du mda'	du_0 'dod_3 ba_8 ma_11 'byung_14 ba_20 de_23 srid_26 du_31 mda'_34 
K04D0012_H0011:324a-13	de sa la mi ltung ngo //	de_0 sa_3 la_6 mi_9 ltung_12 ngo_18 
K04D0012_H0011:324a-14	rab 'byor /	rab_0 'byor_4 
K04D0012_H0011:324a-15	de bzhin du byang chub sems dpa' sems dpa' chen	de_0 bzhin_3 du_9 byang_12 chub_18 sems_23 dpa'_28 sems_33 dpa'_38 chen_43 
K04D0012_H0011:324a-16	po shes rab kyi pha rol tu phyin pa la	po_0 shes_3 rab_8 kyi_12 pha_16 rol_20 tu_24 phyin_27 ba_33 la_36 
K04D0012_H0011:324a-17	spyod pa thabs mkhas pas yongs su bzung ba de	spyod_0 ba_6 thabs_9 mkhas_15 ba_21 yongs_25 su_31 bzung_34 ba_40 de_43 
K04D0012_H0011:324a-18	ni / ji srid du bla na med pa yang	ni_0 ji_5 srid_8 du_13 bla_16 na_20 med_23 ba_27 yang_30 
K04D0012_H0011:324a-19	dag par rdzogs pa'i byang chub tu dge ba'i rtsa	'dag_0 ba_4 rdzogs_8 ba_15 byang_20 chub_26 tu_31 dge_34 ba_38 rtsa_43 
K04D0012_H0011:324a-20	ba de dag yongs su smin pa dang /	ba_0 de_3 'dag_6 yongs_10 su_16 smin_19 ba_24 dang_27 
K04D0012_H0011:324a-21	shin tu yongs su smin par ma gyur pa de	shin_0 tu_5 yongs_8 su_14 smin_17 ba_22 ma_26 gyur_29 ba_34 de_37 
K04D0012_H0011:324a-22	srid du yang dag pa'i mtha' dam pa de mngon	srid_0 du_5 yang_8 'dag_13 ba_17 mtha'_22 dam_28 ba_32 de_35 mngon_38 
K04D0012_H0011:324a-23	sum du mi byed do //	sum_0 du_4 mi_7 byed_10 do_15 
K04D0012_H0011:324a-24	gang gi tshe bla na med pa yang dag par	gang_0 gi_5 tshe_8 bla_13 na_17 med_20 ba_24 yang_27 'dag_32 ba_36 
K04D0012_H0011:324a-25	rdzogs pa'i byang chub tu dge ba'i rtsa ba de	rdzogs_0 ba_7 byang_12 chub_18 tu_23 dge_26 ba_30 rtsa_35 ba_40 de_43 
K04D0012_H0011:324a-26	dag yongs su smin cing shin tu smin par gyur	'dag_0 yongs_4 su_10 smin_13 cing_18 shin_23 tu_28 smin_31 ba_36 gyur_40 
K04D0012_H0011:324a-27	pa de'i tshe yang dag pa'i mtha' dam pa mngon	ba_0 de_3 tshe_8 yang_13 'dag_18 ba_22 mtha'_27 dam_33 ba_37 mngon_40 
K04D0012_H0011:324a-28	sum du byed do //	sum_0 du_4 byed_7 do_12 
K04D0012_H0011:324a-29	rab 'byor /	rab_0 'byor_4 
K04D0012_H0011:324a-30	de lta bas na /	de_0 lta_3 ba_7 na_11 
K04D0012_H0011:324a-31	byang chub sems dpa' sems dpa' chen pos shes rab	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 pos_36 shes_40 rab_45 
K04D0012_H0011:324a-32	kyi pha rol tu phyin pa la spyad par bya	kyi_0 pha_4 rol_8 tu_12 phyin_15 ba_21 la_24 spyod_27 ba_33 byed_37 
K04D0012_H0011:324a-33	/ shes rab kyi pha rol tu phyin pa la bsgom par bya /	shes_2 rab_7 kyi_11 pha_15 rol_19 tu_23 phyin_26 ba_32 la_35 bsgom_38 ba_44 byed_48 
K04D0012_H0011:324a-34	de ltar chos zab mo de dag gi chos nyid	de_0 ltar_3 chos_8 zab_13 mo_17 de_20 'dag_23 gi_27 chos_30 nyid_35 
K04D0012_H0011:324b-0	so sor brtag cing nye bar @324b bsam par bya	so_0 sor_3 rtog_7 cing_13 nye_18 ba_22 bsam_32 ba_37 byed_41 
K04D0012_H0011:324b-1	ste / mngon sum du ni /	ste_0 mngon_6 sum_12 du_16 ni_19 
K04D0012_H0011:324b-2	mi bya'o ////	mi_0 byed_3 
K04D0012_H0011:324b-3	'phags pa shes rab kyi pha rol tu phyin pa brgyad stong pa /	'phag_0 ba_7 shes_10 rab_15 kyi_19 pha_23 rol_27 tu_31 phyin_34 ba_40 brgyad_43 stong_50 ba_56 
K04D0012_H0011:324b-4	bam po bco brgyad pa /	bam_0 po_4 'chos_7 brgyad_11 ba_18 
K04D0012_H0011:324b-5	de skad ces bka' stsal pa dang /	de_0 skad_3 ces_8 bka'_12 stsal_17 ba_23 dang_26 
K04D0012_H0011:324b-6	bcom ldan 'das la tshe dang ldan pa rab 'byor gyis 'di skad ces gsol to //	'joms_0 ldan_5 'da'_10 la_15 tshe_18 dang_23 ldan_28 ba_33 rab_36 'byor_40 gyis_46 'di_51 skad_55 ces_60 gsol_64 to_69 
K04D0012_H0011:324b-7	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:324b-8	byang chub sems dpa' sems dpa' chen po gang stong pa nyid la spyod /	byang_0 chub_6 sems_11 dpa'_16 sems_21 dpa'_26 chen_31 po_36 gang_39 stong_44 ba_50 nyid_53 la_58 spyod_61 
K04D0012_H0011:324b-9	stong pa nyid la gnas /	stong_0 ba_6 nyid_9 la_14 gnas_17 
K04D0012_H0011:324b-10	stong pa nyid kyi ting nge 'dzin la mnyam par	stong_0 ba_6 nyid_9 kyi_14 ting_18 nge_23 'dzin_27 la_33 mnyam_36 ba_42 
